Year,bds,big,idg,idi,inf,mit,ndc,occ,pbc,tub,upc,usa,vub
2008,,,,,,,,,428,,,1056,
2009,,,,,,,,,366,,,1119,
2010,,,,,,,,,474,,,871,
2011,,,,,,,,,488,,,1209,
2012,,,,,,,,,466,,,1257,
2013,,,289,193,,,,,422,343,,870,
2014,245,769,348,180,,877,,,462,394,,1114,
2015,236,724,249,160,,895,,,401,455,,1051,237
2016,248,786,287,230,,946,,749,416,409,,983,285
2017,161,984,323,286,784,905,,625,402,424,416,901,218
2018,230,1110,238,205,732,904,,556,329,471,527,847,210
2019,247,845,212,154,790,874,75,502,295,474,580,500,151
2020,,,,,,,121,,,,,,128
2021,,,,,,,,382,296,,,,
2022,211,466,281,,,,,402,309,335,,924,
2023,174,,221,82,517,699,145,319,214,367,,599,
